Norm. Time,MCH,MCH-2,MCH-3,CYCHEXCH2,MCH-1
-0.06,8.54E-03,0,0,0,0
-0.06,6.74E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-0.06,6.90E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-0.06,6.83E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.69,6.03E-03,5.04E-05,6.36E-05,1.15E-05,5.37E-05
0.69,5.85E-03,5.11E-05,6.55E-05,1.37E-05,5.49E-05
0.69,6.35E-03,6.14E-05,7.30E-05,1.48E-05,5.32E-05
1.01,4.66E-03,0.000137167,0.000152423,3.61858E-05,0.000125159
1.01,4.74E-03,0.00014868,0.000142143,3.54586E-05,0.000117811
1.01,3.79E-03,0.000114131,0.000122674,3.09556E-05,9.18279E-05
1.17,4.43E-03,1.76E-04,1.89E-04,4.19E-05,1.38E-04
1.17,5.45E-03,2.11E-04,2.41E-04,5.18E-05,1.67E-04
1.17,5.96E-03,2.27E-04,2.63E-04,5.48E-05,1.86E-04
2.03,5.00E-04,0,0,0,0
2.03,5.58E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.03,4.10E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00
